speech_rate,setting
1.6393565302248319,natural
1.566544443757659,natural
1.918792443996865,natural
1.646988583142984,natural
1.2799545928618048,natural
2.1504307071851207,natural
1.7317706433860474,natural
1.6879116887296566,natural
1.3042125920046348,natural
1.6994484851208833,natural
1.9560778352738546,natural
1.8228093477523244,natural
2.149361202250017,natural
1.2900218614813894,natural
1.8319449493775408,natural
2.4197300166439786,natural
1.8470419746095035,natural
1.7230106291669238,natural
1.3477996119329132,natural
1.662035221960982,natural
1.6025749297672534,natural
1.4658808739299398,natural
2.109651925723112,natural
1.339157335232435,natural
2.230622542861522,natural
1.1297218648895324,natural
1.3677558470849531,natural
2.4790628003302593,natural
2.0026611625272595,natural
1.8019513712130097,natural
1.4289127060490194,natural
1.1633708001559555,natural
2.7861723851993703,natural
2.1644236587212675,natural
2.0885264615333528,natural
1.325186635716553,natural
1.8235193897106463,natural
1.7597630935828443,natural
1.9745829097842416,natural
1.3534180000884297,natural
1.1725573287020616,natural
1.644283754551244,natural
1.8148343942460976,natural
0.8820934476850486,natural
1.6532373758532435,natural
1.819455516704351,natural
2.2198411242207263,natural
1.486889740762765,natural
1.8334302727599627,natural
2.216511316860445,natural
1.7073006530934332,natural
2.033511401793095,natural
1.4600898181479733,natural
1.4645443410284495,natural
1.2687191785735108,natural
1.656827462166737,natural
2.062878816550706,natural
1.460156950676777,natural
1.4337783964893032,fireplace
1.185447707245023,fireplace
1.0680506125976466,fireplace
0.9896635516066056,fireplace
1.3655508499855107,fireplace
1.067704081566932,fireplace
0.9600074922628237,fireplace
1.6767157711065213,fireplace
1.0079165164857056,fireplace
0.9532288813629587,fireplace
1.2839058513091754,fireplace
1.0994139473940476,fireplace
1.5615045129699503,fireplace
1.98167178233954,fireplace
0.9457855385625522,fireplace
1.4991857667247588,fireplace
1.224030771344987,fireplace
0.7655098041350307,fireplace
0.7717058237680338,fireplace
1.078157255693054,fireplace
1.3132772014670835,fireplace
1.2452525370753023,fireplace
1.810159590981473,fireplace
1.5642731638442517,fireplace
1.0379515534911263,fireplace
1.0541472087280577,fireplace
1.1321634949898987,fireplace
1.6960770295248278,fireplace
1.5282893715961248,fireplace
1.6350645604933907,fireplace
1.086021727767363,fireplace
2.3032899929951727,fireplace
1.528269913719418,fireplace
0.9025528888642724,fireplace
1.2413702475147388,fireplace
0.9385395086975221,fireplace
1.2797605361067264,fireplace
1.2954706137965204,fireplace
1.703864735355816,fireplace
1.865154534783799,fireplace
0.8480711965167681,fireplace
1.298228074430436,fireplace
1.1200183993373984,fireplace
1.0540465461213335,fireplace
1.0071981241534274,fireplace
1.3022952950515445,fireplace
1.1733946861269462,fireplace
1.5889426415496777,fireplace
1.5226691692238323,fireplace
1.0298254935661268,fireplace
1.2952046117233011,fireplace
1.1179933906091806,fireplace
1.0582655303081425,fireplace
1.1641208753882557,fireplace
1.5784702057418707,fireplace
1.2148736753965559,fireplace
1.9309198581129299,fireplace
1.0496331416635711,fireplace
1.529529108321375,fireplace
1.2211943508626808,fireplace
0.8521264242676269,fireplace
1.2898443495883254,fireplace
0.9994466871813603,fireplace
1.1914721666562558,fireplace
1.1842929262342632,fireplace
1.2442927345883512,fireplace
1.7900599130068984,fireplace
0.7735011959098121,fireplace
1.1463773401428359,fireplace
2.352438137584175,fireplace
1.3370716473785644,fireplace
1.3489123016932134,fireplace
1.2537317192811799,fireplace
0.8771365369025053,fireplace
1.7655620008015354,fireplace
1.566687987379637,fireplace
1.0006047124383284,fireplace
1.1426162304738776,fireplace
1.2716947423591145,fireplace
1.317340888435178,fireplace
1.0401043092348978,fireplace
0.9524024633573116,fireplace
0.6792057209248142,fireplace
1.3016125076730944,fireplace
1.0912066398025657,fireplace
0.8399661206728465,fireplace
1.339119036052553,fireplace
1.2238354032627075,fireplace
1.8728528485716358,fireplace
1.283586234669986,fireplace
1.1215775466662103,fireplace
1.6164815425140102,fireplace
0.9737080942676761,fireplace
1.5566872249493304,fireplace
1.0060608474891446,fireplace
1.160446453590574,fireplace
1.2845812419494465,fireplace
1.273562406473697,fireplace
1.8563996544120502,fireplace
1.0836844436651152,fireplace
4.992824139025321,roller coaster
5.191980308303906,roller coaster
5.585819890666127,roller coaster
3.453236057357028,roller coaster
5.506340031708332,roller coaster
4.185212196096717,roller coaster
3.3861371682611234,roller coaster
8.516802855719774,roller coaster
4.415803804473176,roller coaster
3.1190053192540517,roller coaster
5.063515774202944,roller coaster
5.344602486627642,roller coaster
4.041602349069829,roller coaster
7.653375410096213,roller coaster
4.5879374277270495,roller coaster
4.32890708305951,roller coaster
4.633888590157813,roller coaster
3.1817160454004854,roller coaster
3.7427187086383324,roller coaster
3.806521822136987,roller coaster
4.013816567124764,roller coaster
3.912984705327435,roller coaster
5.1804880362573495,roller coaster
5.431783774948632,roller coaster
3.1271253951287066,roller coaster
3.6980412801016866,roller coaster
4.954151245055652,roller coaster
6.174292238010972,roller coaster
5.498826256505984,roller coaster
6.82170813042675,roller coaster
4.935822787778101,roller coaster
6.0137573485765685,roller coaster
6.749720157497329,roller coaster
4.1874889342911095,roller coaster
5.474101995127319,roller coaster
3.0110145171831357,roller coaster
4.045644430188973,roller coaster
4.680124036848574,roller coaster
8.729440988973796,roller coaster
5.669758292055084,roller coaster
3.6120931229700965,roller coaster
6.265248525083747,roller coaster
3.618019838001737,roller coaster
3.631359209505061,roller coaster
4.5545291012536575,roller coaster
4.573248138142193,roller coaster
3.413649414943054,roller coaster
6.242155845328472,roller coaster
7.536448626687348,roller coaster
5.967192677811961,roller coaster
5.4307137544451924,roller coaster
4.389363010300997,roller coaster
3.7131850853834547,roller coaster
3.196324204031296,roller coaster
4.660272304808657,roller coaster
3.1950067138378206,roller coaster
4.1840206195751275,roller coaster
4.54002692809136,roller coaster
6.842383667831856,roller coaster
7.675859463396695,roller coaster
4.595876847786252,roller coaster
4.115285741316127,roller coaster
3.9250013164288986,roller coaster
3.269225537671769,roller coaster
3.7606166921192328,roller coaster
4.938139091531048,roller coaster
5.268575740009657,roller coaster
3.928502154754009,roller coaster
4.986469798929146,roller coaster
8.569408601643833,roller coaster
6.5956207762232255,roller coaster
6.31949941231789,roller coaster
4.067695152635977,roller coaster
3.193966196058304,roller coaster
8.989878223351202,roller coaster
6.3263242759728335,roller coaster
3.488317261372599,roller coaster
4.2967696915580555,roller coaster
3.7610129206785596,roller coaster
4.845440334964732,roller coaster
3.5791446930216826,roller coaster
3.4544080982855134,roller coaster
2.798441052425722,roller coaster
3.7615354437952537,roller coaster
5.437570404894688,roller coaster
2.4012140649634595,roller coaster
4.605495170156557,roller coaster
3.2742124891505755,roller coaster
5.692825852423765,roller coaster
4.5850849355678625,roller coaster
4.124835739787114,roller coaster
5.2829729264002525,roller coaster
5.030456806971885,roller coaster
3.727071797368634,roller coaster
5.152035186631775,roller coaster
4.4206280262285524,roller coaster
8.073953438221341,roller coaster
7.552514265527303,roller coaster
5.923512408940791,roller coaster
4.322278420017737,roller coaster
